
When: 2025-11-04 09:29:27 Episode: 1 Map: 1
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-04 09:31:52	 5218	 448	886	40	 306.56	 2	-6 	0
2025-11-04 09:31:53	 5253	 615	678	40	 325.90	 7	-6 	0
2025-11-04 09:31:54	 5288	 879	563	72	 87.19	 0	2 	0
2025-11-04 09:31:55	 5323	 880	586	72	 48.52	 0	1 	0
2025-11-04 09:31:56	 5358	 949	665	40	 43.24	 0	0 	0
2025-11-04 09:31:57	 5403	 978	688	40	 43.24	 3	1 	0
2025-11-04 09:31:58	 5438	 1070	752	40	 53.79	 0	0 	0
2025-11-04 09:32:01	 5530	 1100	805	40	 45.00	 3	5 	0
2025-11-04 09:32:02	 5565	 1131	860	40	 11.60	 -1	0 	0
2025-11-04 09:32:04	 5654	 1135	860	40	 348.75	 0	-1 	0
2025-11-04 09:32:05	 5689	 1090	902	40	 260.86	 -1	0 	0
2025-11-04 09:32:06	 5724	 948	843	40	 180.00	 -8	-2 	0
2025-11-04 09:32:07	 5759	 664	843	56	 171.21	 -9	0 	0
2025-11-04 09:32:08	 5794	 400	933	56	 92.11	 -4	6 	0
2025-11-04 09:32:09	 5829	 353	1205	56	 92.11	 -1	8 	0
2025-11-04 09:32:10	 5864	 340	1496	56	 104.41	 -1	8 	0
2025-11-04 09:32:11	 5899	 156	1577	56	 250.31	 -7	-8 	0
2025-11-04 09:32:12	 5934	 -12	1552	56	 223.95	 -6	-1 	0
2025-11-04 09:32:13	 5969	 -73	1357	56	 294.26	 2	-8 	0
2025-11-04 09:32:14	 6004	 73	1082	8	 280.20	 5	-10 	0
2025-11-04 09:32:15	 6039	 152	1074	8	 180.00	 4	2 	0
2025-11-04 09:32:16	 6074	 58	1194	24	 141.33	 -6	5 	0
2025-11-04 09:32:17	 6109	 -64	1374	56	 90.35	 -2	7 	0
2025-11-04 09:32:18	 6144	 -10	1560	56	 21.80	 2	2 	0
2025-11-04 09:32:19	 6179	 221	1563	56	 2.46	 8	-1 	0
2025-11-04 09:32:20	 6214	 510	1564	56	 2.46	 8	0 	0
2025-11-04 09:32:21	 6249	 710	1574	56	 63.98	 0	0 	0
2025-11-04 09:32:22	 6284	 673	1662	56	 146.60	 -3	2 	0
2025-11-04 09:32:23	 6319	 538	1654	56	 259.10	 -1	-2 	0
2025-11-04 09:32:24	 6354	 596	1711	56	 310.08	 2	0 	0
2025-11-04 09:32:25	 6389	 679	1653	56	 241.52	 0	-2 	0
2025-11-04 09:32:26	 6424	 616	1541	56	 238.01	 0	1 	0
2025-11-04 09:32:27	 6459	 680	1603	56	 137.81	 -2	1 	0
2025-11-04 09:32:28	 6494	 536	1656	56	 227.46	 -4	-4 	0
2025-11-04 09:32:29	 6529	 370	1468	56	 269.65	 -3	-8 	0
2025-11-04 09:32:30	 6564	 343	1187	56	 269.65	 -1	-9 	0
2025-11-04 09:32:31	 6599	 391	907	56	 315.35	 3	-8 	0
2025-11-04 09:32:32	 6634	 613	821	56	 9.84	 7	2 	0
2025-11-04 09:32:33	 6669	 901	870	40	 22.15	 8	1 	0
2025-11-04 09:32:34	 6704	 994	967	40	 90.70	 -2	5 	0
2025-11-04 09:32:37	 6796	 980	1095	40	 95.98	 -1	1 	0
2025-11-04 09:32:38	 6831	 983	1064	40	 73.12	 0	-1 	0
2025-11-04 09:32:39	 6866	 1035	1126	40	 29.18	 1	2 	0
2025-11-04 09:32:40	 6901	 1053	1148	40	 129.38	 0	0 	0
2025-11-04 09:32:41	 6949	 927	1151	40	 171.56	 -1	-1 	0
2025-11-04 09:32:44	 7043	 965	1186	40	 57.30	 3	4 	0

When: 2025-11-04 09:36:23 Episode: 1 Map: 2
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-04 09:36:25	 248	 1104	1984	0	 270.00	 0	-1 	13
2025-11-04 09:36:36	 612	 1104	1967	0	 271.76	 0	-1 	13
2025-11-04 09:36:37	 647	 1096	1761	-24	 213.75	 -4	-7 	0
2025-11-04 09:36:38	 682	 891	1587	40	 261.21	 -5	-7 	0
2025-11-04 09:36:39	 717	 924	1480	40	 326.25	 5	-1 	0
2025-11-04 09:36:43	 852	 1007	1468	48	 236.60	 0	0 	0
2025-11-04 09:36:44	 892	 999	1409	48	 270.00	 -1	-7 	0
2025-11-04 09:36:45	 927	 1026	1304	48	 354.38	 5	-1 	0
2025-11-04 09:36:46	 962	 1109	1304	48	 298.12	 1	-1 	0
2025-11-04 09:36:47	 997	 1193	1304	48	 285.82	 0	0 	0
2025-11-04 09:37:00	 1466	 1196	1276	48	 264.73	 -1	-6 	0
2025-11-04 09:37:01	 1501	 1205	1216	48	 243.63	 0	0 	0
2025-11-04 09:37:04	 1601	 1148	1351	48	 141.68	 -5	5 	0
2025-11-04 09:37:05	 1636	 985	1400	48	 176.84	 -7	0 	0
2025-11-04 09:37:07	 1714	 985	1574	40	 95.98	 -1	7 	0
2025-11-04 09:37:08	 1749	 1060	1828	-24	 22.15	 5	5 	0
