
When: 2025-11-03 10:59:15 Episode: 1 Map: 2
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-03 10:59:17	 405	 1197	584	-40	 97.38	 -1	0 	0
2025-11-03 10:59:18	 440	 1231	793	8	 53.44	 2	7 	0
2025-11-03 10:59:19	 475	 1327	920	8	 355.43	 0	0 	0
2025-11-03 10:59:21	 519	 1327	872	8	 311.48	 0	-6 	0
2025-11-03 10:59:22	 554	 1523	758	8	 309.73	 6	-4 	0
2025-11-03 10:59:23	 589	 1583	588	8	 285.12	 0	-7 	0
2025-11-03 10:59:24	 624	 1559	410	8	 242.93	 -1	-2 	0
2025-11-03 10:59:27	 729	 1574	324	8	 204.26	 -4	-2 	0
2025-11-03 10:59:28	 764	 1392	276	-40	 177.89	 -1	0 	0
2025-11-03 10:59:29	 799	 1392	282	-40	 177.89	 0	0 	0
2025-11-03 10:59:31	 894	 1392	285	-40	 177.89	 0	0 	0
2025-11-03 10:59:33	 937	 1392	261	-40	 228.87	 0	-3 	0
2025-11-03 10:59:34	 972	 1392	153	-40	 174.38	 -1	-2 	0
2025-11-03 10:59:35	 1007	 1400	279	-40	 58.36	 2	6 	0
2025-11-03 10:59:36	 1042	 1447	548	-40	 107.58	 -1	8 	0
2025-11-03 10:59:37	 1077	 1276	699	-40	 230.62	 -7	-3 	0
2025-11-03 10:59:38	 1117	 1203	584	-40	 353.67	 5	-1 	0
2025-11-03 10:59:39	 1152	 1340	526	-32	 256.99	 -1	-6 	0
2025-11-03 10:59:40	 1187	 1294	328	-32	 271.05	 -1	-1 	0
2025-11-03 10:59:41	 1222	 1266	328	-32	 258.75	 -1	-1 	0
2025-11-03 10:59:42	 1257	 1251	328	-32	 265.78	 -1	0 	0
2025-11-03 10:59:43	 1292	 1252	346	-32	 253.48	 0	2 	0
2025-11-03 10:59:44	 1327	 1238	328	-32	 249.96	 -1	0 	0
2025-11-03 10:59:45	 1362	 1225	328	-32	 255.23	 0	0 	0
2025-11-03 10:59:46	 1397	 1232	359	-32	 255.23	 0	0 	0
2025-11-03 11:00:00	 1904	 1204	328	-32	 290.39	 -1	0 	0
2025-11-03 11:00:02	 1949	 1216	355	-32	 56.95	 3	4 	0
2025-11-03 11:00:03	 1984	 1340	502	-32	 51.68	 3	3 	0
2025-11-03 11:00:04	 2019	 1348	633	-40	 95.62	 0	2 	0
2025-11-03 11:00:05	 2054	 1276	743	-40	 171.21	 -5	0 	0
2025-11-03 11:00:06	 2089	 1222	647	-21	 229.22	 -2	-6 	0
2025-11-03 11:00:07	 2124	 1070	626	-32	 134.30	 -6	4 	0
2025-11-03 11:00:08	 2159	 1068	822	8	 53.44	 3	7 	0
2025-11-03 11:00:09	 2194	 1199	876	8	 355.43	 7	-2 	0
2025-11-03 11:00:10	 2229	 1477	843	8	 336.09	 6	-1 	0
2025-11-03 11:00:11	 2264	 1580	742	8	 260.51	 0	-4 	0
2025-11-03 11:00:12	 2299	 1583	518	8	 290.39	 0	-5 	0
2025-11-03 11:00:13	 2334	 1583	362	8	 249.96	 0	-2 	0
2025-11-03 11:00:14	 2369	 1567	316	8	 235.90	 -1	-2 	0
2025-11-03 11:00:16	 2443	 1561	299	8	 281.60	 0	-3 	0
2025-11-03 11:00:17	 2478	 1581	202	8	 206.02	 0	-1 	0
2025-11-03 11:00:18	 2513	 1583	187	8	 170.86	 0	-1 	0
2025-11-03 11:00:19	 2554	 1510	206	8	 163.83	 -7	1 	0
2025-11-03 11:00:20	 2589	 1392	266	-40	 163.83	 0	1 	0
2025-11-03 11:00:21	 2624	 1392	302	-40	 98.79	 -1	4 	0
2025-11-03 11:00:22	 2659	 1392	520	-40	 98.79	 -1	7 	0
2025-11-03 11:00:23	 2694	 1276	715	-40	 206.02	 -8	0 	0
2025-11-03 11:00:24	 2729	 1191	591	-40	 186.68	 -5	-6 	0
2025-11-03 11:00:25	 2764	 1052	672	-16	 123.40	 -5	5 	0
2025-11-03 11:00:26	 2799	 1069	879	8	 74.18	 2	7 	0
2025-11-03 11:00:27	 2834	 1172	1127	-24	 2.11	 1	0 	0
2025-11-03 11:00:28	 2869	 1336	1127	-24	 46.05	 4	0 	0
2025-11-03 11:00:29	 2904	 1533	1220	-24	 67.15	 5	5 	0
2025-11-03 11:00:30	 2939	 1510	1445	-24	 142.73	 -6	4 	0
2025-11-03 11:00:31	 2974	 1478	1574	-24	 169.10	 -2	3 	0
2025-11-03 11:00:32	 3009	 1427	1544	-24	 228.87	 -4	-1 	0
2025-11-03 11:00:34	 3077	 1425	1556	-24	 14.77	 6	1 	0
2025-11-03 11:00:35	 3112	 1573	1656	-24	 114.96	 -3	4 	0
2025-11-03 11:00:36	 3147	 1420	1855	-24	 183.52	 -8	3 	0
2025-11-03 11:00:37	 3182	 1311	1855	-24	 181.76	 -2	-1 	0
2025-11-03 11:00:38	 3217	 1113	1796	-24	 253.83	 -5	-6 	0
2025-11-03 11:00:39	 3252	 993	1635	0	 220.43	 -5	-3 	0
2025-11-03 11:00:40	 3287	 848	1554	32	 266.13	 -1	-3 	0
2025-11-03 11:00:41	 3322	 944	1480	40	 343.48	 5	0 	0
2025-11-03 11:00:42	 3357	 996	1456	48	 267.89	 -1	-1 	0
2025-11-03 11:00:43	 3392	 990	1372	48	 280.20	 0	-8 	0
2025-11-03 11:00:44	 3427	 1108	1304	48	 350.51	 6	-1 	0
2025-11-03 11:00:45	 3466	 1247	1291	48	 243.28	 -1	-2 	0
2025-11-03 11:00:46	 3501	 1185	1223	48	 141.33	 -1	-1 	0
2025-11-03 11:00:47	 3541	 1188	1288	48	 93.87	 0	6 	0
2025-11-03 11:00:48	 3576	 1128	1411	48	 192.30	 -1	-1 	0
2025-11-03 11:00:49	 3611	 996	1361	48	 192.30	 -8	-2 	0
2025-11-03 11:00:50	 3646	 819	1322	48	 137.81	 -3	0 	0
2025-11-03 11:00:51	 3681	 720	1411	48	 199.34	 0	0 	0
2025-11-03 11:00:54	 3784	 797	1415	48	 4.57	 6	0 	0
2025-11-03 11:00:56	 3844	 855	1414	48	 339.96	 0	-1 	0
2025-11-03 11:00:57	 3879	 942	1399	48	 80.16	 2	0 	0
2025-11-03 11:00:58	 3914	 941	1399	48	 146.95	 1	-1 	0
2025-11-03 11:00:59	 3949	 1016	1381	48	 117.07	 -3	5 	0
2025-11-03 11:01:00	 3984	 976	1448	48	 73.12	 0	1 	0
2025-11-03 11:01:01	 4019	 1014	1487	40	 13.36	 2	1 	0
2025-11-03 11:01:02	 4054	 1144	1650	38	 127.62	 -1	7 	0
2025-11-03 11:01:03	 4089	 1030	1812	-24	 215.51	 -3	1 	0
2025-11-03 11:01:04	 4124	 858	1809	-24	 185.62	 -8	-1 	0
2025-11-03 11:01:05	 4159	 848	1763	-24	 215.51	 0	-3 	0
2025-11-03 11:01:07	 4243	 1017	1853	-24	 6.33	 7	2 	0
2025-11-03 11:01:08	 4278	 1278	1834	-24	 317.11	 5	-4 	0
2025-11-03 11:01:09	 4313	 1465	1741	-24	 311.84	 5	-4 	0
2025-11-03 11:01:10	 4348	 1548	1507	-24	 266.13	 -1	-9 	0
2025-11-03 11:01:11	 4383	 1532	1218	-24	 259.10	 -1	-9 	0
2025-11-03 11:01:12	 4418	 1462	1039	-24	 172.97	 -1	-1 	0
2025-11-03 11:01:13	 4453	 1314	1084	-24	 158.91	 -8	2 	0
2025-11-03 11:01:14	 4488	 1182	1127	-24	 199.34	 -1	0 	0
2025-11-03 11:01:16	 4557	 1137	1099	-24	 215.16	 -4	-3 	0
2025-11-03 11:01:17	 4592	 1097	1071	-24	 192.30	 -1	-1 	0
2025-11-03 11:01:18	 4632	 1056	1052	-24	 190.55	 0	-1 	0
2025-11-03 11:01:19	 4667	 1056	1074	-24	 192.30	 -1	0 	0
2025-11-03 11:01:20	 4702	 1062	1059	-24	 211.64	 0	0 	0
2025-11-03 11:01:21	 4737	 1089	1076	-24	 273.16	 0	0 	0
2025-11-03 11:01:23	 4786	 1112	1020	-16	 250.31	 0	-1 	0
2025-11-03 11:01:24	 4831	 1143	959	8	 296.02	 2	-6 	0
2025-11-03 11:01:25	 4866	 1210	821	8	 259.10	 0	-1 	0
2025-11-03 11:01:26	 4901	 1207	783	8	 259.10	 -1	-4 	0
2025-11-03 11:01:27	 4936	 1199	741	0	 259.10	 -1	-1 	0
2025-11-03 11:01:29	 4994	 1261	659	-40	 332.93	 4	-5 	0
2025-11-03 11:01:30	 5029	 1381	584	-40	 239.77	 -1	-1 	0
2025-11-03 11:01:31	 5064	 1328	515	-32	 287.23	 1	-6 	0
2025-11-03 11:01:32	 5099	 1318	328	-32	 253.83	 -2	-1 	0
2025-11-03 11:01:33	 5134	 1245	328	-32	 201.09	 -5	-1 	0
2025-11-03 11:01:34	 5169	 1168	328	-32	 209.88	 -1	-1 	0
2025-11-03 11:01:53	 5861	 1168	336	-32	 345.76	 0	0 	0
2025-11-03 11:01:57	 5976	 1214	328	-32	 8.61	 1	0 	0
2025-11-03 11:01:58	 6015	 1228	337	-32	 77.17	 0	3 	0
2025-11-03 11:01:59	 6050	 1322	488	-32	 56.07	 3	1 	0
2025-11-03 11:02:00	 6085	 1349	649	-40	 73.65	 0	4 	0
2025-11-03 11:02:01	 6120	 1368	704	-40	 177.36	 3	-1 	0
2025-11-03 11:02:02	 6155	 1324	638	-40	 186.15	 -3	-2 	0
2025-11-03 11:02:03	 6190	 1188	680	-16	 180.88	 -8	1 	0
2025-11-03 11:02:04	 6225	 1040	741	0	 101.78	 -1	4 	0
2025-11-03 11:02:05	 6260	 1059	823	8	 114.08	 1	-4 	0
2025-11-03 11:02:06	 6295	 1101	886	8	 77.17	 1	4 	0
2025-11-03 11:02:07	 6330	 1117	937	8	 94.75	 0	0 	0
2025-11-03 11:02:08	 6367	 1107	1052	-24	 135.18	 -1	5 	0
2025-11-03 11:02:09	 6402	 1102	1108	-24	 182.64	 -1	0 	0
2025-11-03 11:02:10	 6437	 1056	1117	-24	 175.61	 0	0 	0
2025-11-03 11:02:12	 6508	 1140	975	8	 312.71	 4	-7 	0
